MetadataComponentId,MetadataComponentName,MetadataComponentType,RefMetadataComponentId,RefMetadataComponentName,RefMetadataComponentType
01r8I0000007LNKQA2,Recipe_Library,CustomTab,0Rb8I000001Q1YqSAK,recipeLibraryContainer,LightningComponentBundle
01r4O0000001bRyQAI,SalesProposal_Actuals_Lookup,CustomTab,0Rb4O0000008OPlSAM,salesProposal_Actual_Lookup_Component,LightningComponentBundle
01r4O0000001bzMQAQ,Promotional_Sales_Agreement,CustomTab,0Rb4O000000PBC7SAO,promotionalSalesAgreement,LightningComponentBundle
01r4O000000QrSvQAK,Margin_Calculator,CustomTab,0Rb4O000000XaYiSAK,marginCalculator,LightningComponentBundle
01r4O000000UtjYQAS,Create_Promotions,CustomTab,0Rb4O0000004FFjSAM,createPromotions,LightningComponentBundle
01r8I0000007LAnQAM,Salesperson_Goals_By_Manager,CustomTab,0Rb8I000001Pc3nSAC,createSalespersonGoalsByManager,LightningComponentBundle
0DM4O0000008RgkWAE,Analytics1,SiteDotCom,0Rb4O0000008OO8SAM,tableauChart,LightningComponentBundle
0DM4O000000L8JTWA0,German_Marketing_Agencies1,SiteDotCom,0Rb4O0000008OO8SAM,tableauChart,LightningComponentBundle
0DM4O000000L8JxWAK,Accenture_Partner1,SiteDotCom,0Rb4O0000008OO8SAM,tableauChart,LightningComponentBundle
0DM4O000000bmM6WAI,Bain_Consulting_Partner1,SiteDotCom,0Rb4O0000008OO8SAM,tableauChart,LightningComponentBundle
0DM4O000000bmRkWAI,Really_Great_Brand_Company1,SiteDotCom,0Rb4O0000008OO8SAM,tableauChart,LightningComponentBundle
0DM4O000000fy3YWAQ,Revenue_Growth_Management1,SiteDotCom,0Rb4O0000008OO8SAM,tableauChart,LightningComponentBundle
0DM13000000TOLRGA4,Sales1,SiteDotCom,0Rb4O000000PAxiSAG,takeawayVolume,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000PCROSA4,cookieConsent,LightningComponentBundle
0DM4O000000CcznWAC,Bar_Fabric1,SiteDotCom,0Rb4O000000PCROSA4,cookieConsent,LightningComponentBundle
0DM4O000000CcznWAC,Bar_Fabric1,SiteDotCom,0Rb4O000000PCS7SAO,barFabricStory,LightningComponentBundle
0DM4O000000CcznWAC,Bar_Fabric1,SiteDotCom,0Rb4O000000PCS9SAO,genericAgeGate,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000PCSASA4,genericSelfRegister,LightningComponentBundle
0DM4O000000CcznWAC,Bar_Fabric1,SiteDotCom,0Rb4O000000PCSASA4,genericSelfRegister,LightningComponentBundle
0DM4O000000CcznWAC,Bar_Fabric1,SiteDotCom,0Rb4O000000PCUxSAO,barFabricStoryList,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000XcwgSAC,tsaContactUs,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000XcwhSAC,tsaContent,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000XcwiSAC,tsaContentList,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000XcwmSAC,tsaNominate,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000XcwnSAC,tsaNominationList,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000XcwoSAC,tsaSimpleContent,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000XcwpSAC,tsaUserProfile,LightningComponentBundle
0DM4O0000008RljWAE,Tennessee_Squire_Association1,SiteDotCom,0Rb4O000000XcwqSAC,tsaVirtualCard,LightningComponentBundle
01p4O000001n36IQAQ,SendBetterEmail,ApexClass,0Rb4O000000kATVSA2,sendBetterEmailCPE,LightningComponentBundle
09D8I000002PJnGUAW,Create_Google_Slides,QuickAction,0Rb8I000001Q1YeSAK,recipeCollectionGoogleModal,LightningComponentBundle
0Ab1B000000bm6BSAQ,LikeAndVolunteerQuickAction.2,AuraDefinitionBundle,0Rb1B0000008OIoSAM,likeAndVolunteerButtonRow,LightningComponentBundle
0Ab1B000000bmArSAI,MRMBudgetSearch.2,AuraDefinitionBundle,0Rb1B0000008OJTSA2,mrmSearchBudget,LightningComponentBundle
0Ab1B000000bmAsSAI,MRMReclass.2,AuraDefinitionBundle,0Rb1B0000008OJSSA2,mrmReclassFundingRequest,LightningComponentBundle
0Ab1B000000bmAtSAI,MRMFundingRequestSearch.2,AuraDefinitionBundle,0Rb1B0000008OJUSA2,mrmSearchFundingRequest,LightningComponentBundle
0Ab4O000000CjBzSAK,LightningWebComponentFromVisualForce.0,AuraDefinitionBundle,0Rb4O000000PAwZSAW,callcardGrid,LightningComponentBundle
0Ab4O000000CjUISA0,PromotionalSalesAgreementSummaryContainer.2,AuraDefinitionBundle,0Rb4O000000PBCCSA4,promotionalSalesAgreementSummary,LightningComponentBundle
0Ab4O000000CjUJSA0,PromotionalSalesAgreementContainer.2,AuraDefinitionBundle,0Rb4O000000PBC7SAO,promotionalSalesAgreement,LightningComponentBundle
0Ab4O000000CjUKSA0,PromotionalSalesAgreementItemFormContainer.2,AuraDefinitionBundle,0Rb4O000000PBCASA4,promotionalSalesAgreementItemForm,LightningComponentBundle
0Ab4O000000CjULSA0,PromotionalSalesAgreementActualsContainer.2,AuraDefinitionBundle,0Rb4O000000PBC8SAO,promotionalSalesAgreementActuals,LightningComponentBundle
0Ab4O000000CjUMSA0,PromotionalSalesAgreementItemsContainer.2,AuraDefinitionBundle,0Rb4O000000PBCBSA4,promotionalSalesAgreementItems,LightningComponentBundle
0Ab4O000000CjUNSA0,PromotionalSalesAgreementActualsFormContainer.2,AuraDefinitionBundle,0Rb4O000000PBC9SAO,promotionalSalesAgreementActualsForm,LightningComponentBundle
0Ab4O000000ClV3SAK,LinkMandatoryProductsContainer.2,AuraDefinitionBundle,0Rb4O000000PCP3SAO,linkMandatoryProducts,LightningComponentBundle
0Ab4O000000g9DxSAI,ActivityPreEvalFormContainer.2,AuraDefinitionBundle,0Rb4O000000blowSAA,activityPreEvaluationForm,LightningComponentBundle
0Ab4O000000g9T2SAI,SightAccountAssetsApp.0,AuraDefinitionBundle,0Rb4O000000kAbOSAU,sightAccountAssets,LightningComponentBundle
0Ab4O000000kHAPSA2,ActivityPreEvaluationFormSummaryContainer.2,AuraDefinitionBundle,0Rb4O000000bloxSAA,activityPreEvaluationFormSummary,LightningComponentBundle
0Ab8I000000Zr9RSAS,BFCreditRiskApp.0,AuraDefinitionBundle,0Rb4O000000045HSAQ,bfCreditRiskTable,LightningComponentBundle
